Target Name,Ticker,Start Date,End Date
"LEARNING TREE INTERNATIONAL, INC.",LTRE,2015-08-14,2020-08-14
HOLOGIC INC,HOLX,2015-08-14,2020-08-14
DSP GROUP INC /DE/,DSPG,2015-08-14,2020-08-14
CACI INTERNATIONAL INC /DE/,CACI,2015-08-18,2020-08-18
SPX CORP,SPXC,2015-11-13,2020-11-13
INGERSOLL RAND PLC,IR,2015-11-13,2020-11-13
LEAR CORP,LEA,2015-11-16,2020-11-16
"HAWAIIAN HOLDINGS, INC.",HA,2016-02-16,2021-02-16
APPLE INC.,AAPL,2016-02-16,2021-02-16
HOLOGIC INC,HOLX,2016-02-16,2021-02-16
LINDSAY CORPORATION,LNN,2016-02-16,2021-02-16
"PEPSICO, INC.",PEP,2016-02-16,2021-02-16
"INSPERITY, INC.",NSP,2016-05-12,2021-05-12
CHICOS FAS INC,CHS,2016-05-16,2021-05-16
PACIFIC MERCANTILE BANCORP,PMBC,2016-08-12,2021-08-12
"NMI HOLDINGS, INC.",NMIH,2016-08-15,2021-08-15
TRANSOCEAN LTD.,RIG,2016-08-15,2021-08-15
DARDEN RESTAURANTS INC,DRI,2016-08-15,2021-08-15
"FIDELITY NATIONAL FINANCIAL, INC.",FNF,2016-11-14,2021-11-14
MARATHON PETROLEUM CORP,MPC,2016-11-14,2021-11-14
HOOPER HOLMES INC,HH,2016-11-15,2021-11-15
BIG 5 SPORTING GOODS CORP,BGFV,2017-02-10,2022-02-10
LENNAR CORPORATION,LEN,2017-02-14,2022-02-14
WILLIAMS COMPANIES INC,WMB,2017-02-14,2022-02-14
"NUANCE COMMUNICATIONS, INC.",NUAN,2017-02-14,2022-02-14
SIGMA DESIGNS INC,SIGM,2017-02-14,2022-02-14
CONMED CORP,CNMD,2017-03-16,2022-03-16
FERRO CORPORATION,FOE,2017-05-15,2022-05-15
FORRESTER RESEARCH INC,FORR,2017-08-14,2022-08-14
QUANTUM CORP /DE/,QMCO,2017-11-13,2022-11-13
STEWART INFORMATION SERVICES CORPORATION,STC,2018-02-14,2023-02-14
RADIAN GROUP INC.,RDN,2018-05-14,2023-05-14
"LHC GROUP, INC",LHCG,2018-05-15,2023-05-15
"SI FINANCIAL GROUP, INC.",SIFI,2018-08-08,2023-08-08
"OCLARO, INC.",OCLR,2018-11-13,2023-11-13
DELL INC,DELL,2019-02-14,2024-02-14
META FINANCIAL GROUP INC,CASH,2019-02-14,2024-02-14
KENNAMETAL INC,KMT,2019-08-14,2024-08-14
"PENNYMAC FINANCIAL SERVICES, INC.",PFSI,2019-08-14,2024-08-14
TUESDAY MORNING CORP/DE,TUES,2019-09-03,2024-09-03
INTERCEPT PHARMACEUTICALS INC,ICPT,2020-02-14,2025-02-14
