,CLX,CMC,CAR,AVID,PEP,FLS,ANF,OSK,VVI,EXTR,PRGS,DELL,GNW,JAKK,PLUG,RDNT,DSPG,ITW,MLM,VMC,LEN,PTX,SCOR,AXAS,GTS,NBR,HPE,TKR,RGS,MDRX,QEP,IDTI,USAK,NFLX,SUPN,CACC,WRLD,CPF,IRDM,XOMA,HOLX,DSPG,CACI,IR,LEA,HA,AAPL,HOLX,LNN,PEP,NSP,CHS,NMIH,RIG,DRI,FNF,MPC,BGFV,LEN,WMB,NUAN,SIGM,CNMD,FOE,FORR,STC,RDN,LHCG,OCLR,DELL,CASH,KMT,PFSI,TUES,ICPT
14,63.97,11.97,14.83,15.02,75.57,161.3,46.86,39.17,25.27,3.89,24.81,31.3,15.28,5.93,4.29,6.22,8.6,86.4,123.72,61.19,39.17,8.4,38.72,5.53,23.02,16.91,12.29,43.42,16.69,12.83,22.86,23.655,19.6,103.96,16.73,192.85,35.01,20.17,7.75,1.38,40.01,10.26,100.16,52.02,101.78,41.43,100.35,34.41,69.11,101.96,66.05,11.74,8.75,11.66,74.95,38.49,50.03,13.3,51.53,29.69,18.71,6.3,51.42,19.18,46.95,,,,,,,,,,
15,65.21,11.62,13.38,14.73,75.93,161.55,46.27,38.15,24.66,3.86,24.43,31.3,15.11,7.16,4.09,6.36,8.39,86.55,122.8,60.97,39.18,8.69,38.31,5.345,23.12,13.12,13.67,42.79,16.54,12.005,21.48,24.18,19.56,117.63,17.8,197.51,36.55,21.09,7.77,1.36,40.06,10.38,101.64,56.55,109.0,39.55,97.92,34.32,70.49,102.53,66.79,12.63,8.9,13.35,75.04,37.9,51.27,14.0,52.73,28.88,19.31,6.25,50.94,19.59,46.05,,,,,,,,,,
16,65.03,11.9,13.45,15.55,77.2,164.74,48.26,39.88,25.88,3.73,24.46,31.3,15.2,7.45,4.35,7.48,8.53,88.49,128.68,63.53,38.88,8.03,38.57,4.87,24.0,12.21,13.44,43.2,17.02,12.17,21.16,23.76,18.81,98.79,19.62,195.95,33.23,20.41,7.95,1.36,39.57,10.51,93.2,57.43,109.46,39.97,98.83,34.14,72.27,103.31,66.56,12.38,10.1,15.42,78.6,37.61,49.87,13.8,52.0,29.39,18.62,5.8,51.02,19.49,45.05,,,,,,,,,,
17,65.0,12.05,14.03,15.69,77.04,167.75,48.71,40.56,25.2,3.91,24.57,31.3,14.96,7.16,4.39,7.24,8.51,88.18,132.1,64.75,39.06,7.2,39.34,3.84,24.63,10.0,15.44,40.64,17.14,11.74,20.41,23.59,20.73,97.51,20.2,202.08,28.98,21.09,7.62,1.27,38.12,9.85,93.13,58.79,111.91,36.13,95.33,33.81,67.8,103.41,66.44,12.4,10.05,15.01,75.53,38.58,50.79,13.9,52.93,29.12,18.2,5.8,50.75,20.95,45.05,,,,,,,,,,
18,66.59,11.84,14.5,15.84,78.64,165.72,45.96,41.48,25.69,4.33,25.11,31.3,15.4,7.23,4.15,7.13,8.67,89.38,134.91,65.24,41.03,7.47,38.37,3.81,24.25,13.63,16.33,43.23,16.61,12.05,20.78,21.91,22.68,102.62,20.97,205.02,27.41,21.21,7.93,1.36,38.58,9.59,94.55,61.69,110.49,35.62,93.4,34.11,70.56,101.98,70.5,12.54,10.8,14.73,74.48,38.55,48.87,14.3,52.12,28.75,18.84,6.2,50.11,21.55,44.9,,,,,,,,,,
19,66.56,12.64,15.2,16.15,79.11,167.71,46.2,42.49,24.52,5.0,25.79,31.3,15.51,7.08,4.8,6.68,8.41,88.55,132.23,63.9,39.74,7.86,37.46,4.04,24.36,12.82,17.33,43.83,16.74,11.83,21.07,21.56,18.19,102.24,16.57,206.25,27.43,22.37,8.59,1.38,39.08,9.68,92.78,61.28,106.08,38.26,95.89,34.85,68.28,105.63,73.65,11.9,10.65,14.74,72.72,38.94,50.54,13.3,53.32,30.28,17.41,5.85,51.16,22.3,44.2,,,,,,,,,,
20,67.16,13.28,15.92,16.22,78.59,160.12,48.68,39.05,26.73,5.18,25.93,31.3,15.39,7.206,4.73,6.39,9.02,87.7,126.67,64.36,39.85,8.04,36.6,4.13,23.69,12.49,17.57,42.73,16.72,11.77,21.7,19.82,17.76,106.11,15.33,210.0,26.7,22.36,8.41,1.33,38.69,9.44,86.85,62.08,104.66,42.25,96.68,35.93,70.48,108.27,72.64,12.41,10.5,15.77,71.55,38.22,50.02,13.05,53.48,30.41,17.24,5.7,49.37,22.52,43.95,,,,,,,,,,
21,68.03,12.94,15.25,15.07,79.99,161.55,48.65,39.14,28.18,5.16,26.16,31.3,16.66,8.28,4.52,6.0,8.56,85.9,129.12,65.16,38.45,8.2,36.0,4.28,23.56,11.07,18.4,41.15,17.11,12.28,22.41,20.65,20.33,113.33,14.48,220.9,30.33,23.77,7.49,1.13,36.55,8.74,87.7,60.35,108.65,44.43,98.78,36.35,68.61,109.66,73.85,12.2,10.35,15.48,73.37,38.38,49.24,12.65,54.03,31.43,17.45,6.2,49.29,23.32,43.45,,,,,,,,,,
22,69.99,12.7,14.455,16.31,82.77,152.83,46.77,37.22,27.17,5.44,25.85,31.3,16.09,8.98,4.23,6.23,8.62,85.2,130.52,64.05,41.46,9.24,36.97,4.07,23.55,10.63,17.89,40.69,16.4,11.99,22.71,19.26,19.85,98.99,16.31,221.06,28.96,22.84,6.92,1.01,34.96,9.57,86.21,63.77,112.77,46.26,98.66,36.52,69.6,109.19,73.98,11.96,10.5,15.31,73.44,39.7,48.56,11.5,53.33,31.45,17.2,6.15,48.6,23.69,45.6,,,,,,,,,,
23,68.56,12.59,14.62,17.04,82.51,157.73,48.41,39.88,26.21,5.83,26.27,31.3,15.03,8.82,5.03,5.35,8.42,85.16,130.89,65.2,43.76,9.87,38.22,4.34,24.01,11.12,17.4,41.7,16.6,12.59,22.17,19.11,20.56,100.04,15.97,213.06,34.93,23.31,6.72,1.08,35.21,9.7,83.07,64.44,115.13,45.53,104.21,38.49,70.16,108.92,73.1,11.73,10.65,14.9,73.56,40.95,50.94,11.35,52.43,31.99,17.26,6.5,48.56,23.68,44.65,,,,,,,,,,
24,69.86,12.85,15.17,17.81,82.83,158.67,49.5,38.81,25.1,5.49,26.22,31.3,14.75,8.93,5.42,5.17,8.84,82.83,126.75,63.27,43.08,9.75,42.14,3.325,24.08,11.51,17.49,38.01,15.75,13.3,22.49,19.97,18.18,108.38,16.5,189.09,38.13,23.32,6.96,1.01,33.94,9.57,91.07,65.54,115.02,45.76,107.48,38.97,70.05,108.66,73.15,11.34,11.1,13.97,71.82,41.54,50.66,10.85,54.25,30.98,16.85,6.25,49.92,24.41,44.8,,,,,,,,,,
25,67.75,13.66,15.42,17.85,83.0,162.24,53.84,38.42,25.4,5.375,25.59,31.3,15.5,8.69,5.38,6.92,9.17,84.6,127.11,61.97,44.54,9.09,42.92,2.65,23.87,12.41,16.66,40.42,16.84,13.95,21.59,19.19,18.93,114.06,18.11,178.99,46.09,22.81,6.76,0.8794,33.27,8.37,94.04,65.53,114.04,44.47,108.18,38.68,71.28,108.59,67.7,13.7,11.25,13.35,76.28,40.39,52.67,9.35,53.25,30.08,16.15,6.15,49.56,23.82,39.45,,,,,,,,,,
26,68.49,13.79,16.31,15.65,83.8,169.9,54.24,38.95,23.13,6.29,25.75,31.3,15.56,8.16,5.65,6.77,9.05,87.02,126.86,61.47,45.64,10.95,43.1,2.63,24.03,12.73,15.78,42.53,16.6,13.98,20.05,17.29,19.03,103.65,16.2,162.46,36.17,20.12,7.0,0.7733,32.6,8.51,93.23,65.59,114.23,45.07,109.36,38.34,73.04,108.17,72.35,14.3,11.1,13.16,76.73,41.18,52.78,8.75,51.88,29.07,15.7,6.2,51.83,23.91,42.1,,,,,,,,,,
27,67.79,13.15,15.98,15.12,82.58,166.84,50.02,38.02,22.97,6.26,26.33,31.3,15.21,8.63,5.9201,6.92,9.16,88.5,129.18,62.67,47.29,10.36,42.49,3.26,18.44,13.52,15.77,42.43,16.16,14.6,19.84,19.09,20.0,123.84,15.45,169.76,38.32,20.77,7.55,0.7835,34.49,8.32,94.61,64.2,118.18,45.4,106.94,38.8,74.18,107.45,71.75,15.53,10.95,13.75,75.46,42.42,52.82,7.5,51.61,29.39,15.83,6.3,50.74,24.3,41.7,,,,,,,,,,
28,67.53,12.74,16.42,13.45,80.77,168.13,50.08,39.82,22.57,6.26,26.22,,15.54,8.83,5.89,6.68,8.98,88.21,130.96,63.38,47.24,10.37,43.97,3.14,18.85,12.81,15.87,42.48,16.04,14.07,18.83,18.83,20.46,125.44,16.66,200.85,40.22,22.07,7.31,0.7699,35.08,8.49,102.9,66.48,115.95,47.6,107.73,38.51,72.79,107.87,73.5,15.4,11.05,13.53,75.11,43.58,52.7,7.95,51.76,30.06,15.89,6.2,52.47,25.05,40.8,,,,,,,,,,
29,67.91,13.81,16.7,13.23,82.51,168.07,51.7,38.9,23.88,6.95,26.34,,16.95,7.51,5.58,6.75,8.88,88.29,132.19,62.72,45.55,10.5,43.7,2.97,19.83,12.69,18.26,42.35,15.87,14.26,18.81,19.81,19.55,130.93,14.58,236.17,42.9,22.02,7.35,0.8199,34.75,9.09,100.27,65.8,115.2,47.12,103.13,37.16,70.45,104.05,70.7,16.7,10.95,12.26,74.16,42.69,54.71,7.65,50.54,29.69,15.58,6.05,54.24,23.65,42.5,,,,,,,,,,
30,68.21,14.96,17.4,13.38,82.13,165.65,48.76,37.36,23.96,6.99,26.42,,16.62,7.45,5.43,7.64,8.66,88.26,129.22,62.62,42.31,9.61,44.13,2.9,20.34,11.96,18.35,41.76,15.96,14.15,18.55,20.01,16.61,118.91,13.17,208.97,36.72,20.2,7.3,0.9027,35.14,8.88,101.23,64.49,114.32,46.36,114.92,37.59,70.79,105.28,72.55,15.81,11.8,12.47,76.66,43.5,53.77,8.0,51.31,30.3,16.29,5.9,52.11,23.95,43.35,,,,,,,,,,
31,67.99,13.75,16.795,13.2,80.13,159.31,45.95,35.3,24.98,6.85,24.63,,18.0,7.81,5.1,7.22,8.75,88.62,128.43,62.25,43.67,9.65,47.14,2.81,21.05,13.15,19.12,41.7,16.09,14.17,18.46,19.85,16.37,118.02,14.13,208.65,37.89,19.34,7.58,0.8349,34.48,8.93,99.42,65.14,104.78,47.5,112.71,38.45,73.11,107.34,70.75,14.62,11.05,12.26,76.71,44.58,51.5,7.95,50.28,30.0,16.05,5.95,53.29,23.51,41.55,,,,,,,,,,
32,68.75,13.2,15.38,12.6,81.79,54.01,45.25,37.97,24.98,6.92,25.24,,17.22,8.02,4.43,6.97,8.88,85.61,130.73,61.33,43.76,9.13,47.47,2.91,19.89,13.3,18.94,40.8,16.38,14.155,18.61,21.18,18.6,117.33,14.14,219.11,42.37,19.21,7.17,0.7597,34.35,8.76,106.67,62.87,102.81,48.6,113.05,38.83,73.98,108.77,70.65,14.39,11.4,12.45,83.67,44.83,52.33,7.35,52.8,30.01,15.72,6.3,52.7,23.59,41.35,,,,,,,,,,
33,68.96,13.53,16.82,12.26,80.8,55.36,49.24,38.49,24.69,7.04,25.88,,17.82,8.2,4.35,7.15,9.41,83.63,122.89,59.16,44.29,9.69,45.61,2.96,19.88,14.07,18.16,42.33,16.93,13.42,18.23,21.65,17.45,114.38,13.44,214.02,37.1,20.95,7.95,0.785,34.6,9.25,105.11,64.01,106.41,49.5,114.06,39.74,71.28,105.99,70.95,14.02,11.55,12.43,82.84,44.59,54.07,7.65,55.89,30.11,16.0,6.3,53.37,24.34,,,,,,,,,,,
34,70.23,13.38,16.98,11.44,84.32,55.51,50.95,40.04,24.79,7.03,25.79,,16.0,8.3,4.56,7.6,9.16,80.79,112.1,56.52,46.79,8.79,43.19,3.29,19.92,14.8,18.49,41.76,17.27,13.25,16.18,23.19,15.89,111.39,11.69,206.8,39.07,20.0,7.47,0.8011,35.37,9.03,106.15,65.74,111.84,48.89,117.63,38.45,78.42,106.83,70.7,13.57,12.2,11.72,81.97,45.54,53.81,8.05,56.02,29.87,15.75,6.5,49.79,23.91,,,,,,,,,,,
35,70.24,14.18,17.025,9.15,86.41,57.35,49.22,40.63,25.73,7.44,24.11,,16.88,7.96,4.44,8.48,9.14,83.39,117.71,59.09,43.2,8.23,40.25,3.46,19.15,14.72,19.04,40.38,17.34,14.88,15.03,24.25,13.0,104.04,11.29,178.94,34.43,19.63,7.54,0.8405,36.17,8.97,109.38,67.94,113.5,47.69,116.6,38.08,78.23,105.62,72.6,13.21,11.95,11.3,84.16,47.57,55.34,7.15,57.5,29.33,15.65,6.225,52.13,24.09,,,,,,,,,,,
36,69.78,13.75,16.36,8.01,85.31,56.82,49.0,40.39,26.88,7.48,24.49,,17.34,7.06,4.38,8.83,9.3,87.98,122.93,61.25,43.73,8.68,41.39,3.16,19.51,15.04,19.77,40.17,17.26,14.2,13.57,25.5,15.54,100.72,12.47,180.69,37.77,19.88,8.16,0.9257,37.44,8.89,96.15,67.72,113.45,44.9,113.72,35.98,78.39,107.07,70.95,12.7,11.6,11.03,85.19,48.36,54.98,7.35,58.01,28.62,14.94,6.05,53.57,24.49,,,,,,,,,,,
37,67.46,14.36,16.46,8.51,84.29,57.26,51.8,46.86,26.86,7.35,24.14,,17.81,6.47,4.34,9.3,9.69,91.05,116.92,61.71,44.91,8.31,41.56,3.05,19.17,16.5,20.05,39.36,16.45,14.46,13.88,26.39,16.17,91.84,11.34,178.96,28.94,20.32,8.07,0.8186,33.59,9.5,95.35,66.26,113.76,45.5,108.84,38.08,76.76,105.81,71.7,13.36,11.1,11.18,87.33,48.33,55.79,7.1,54.62,28.26,15.31,6.0,52.74,22.59,,,,,,,,,,,
38,68.56,13.68,16.64,8.54,84.34,56.75,49.23,45.55,26.2,7.32,24.17,,18.22,6.5,4.71,8.37,10.09,92.81,123.81,65.11,48.02,8.35,44.02,3.205,22.41,16.31,21.02,39.82,16.73,14.55,13.72,25.53,14.84,82.79,12.13,174.95,31.24,21.19,8.23,0.7227,33.72,9.4,94.11,68.35,114.25,46.55,108.43,36.74,78.52,103.19,72.45,14.25,10.85,10.62,88.31,47.06,52.16,6.55,58.71,28.62,14.79,5.9,51.45,20.92,,,,,,,,,,,
39,67.64,13.26,16.4993,8.9,80.18,56.6,48.39,45.75,26.59,5.67,24.05,,17.64,6.42,5.3,8.56,11.11,93.78,126.47,66.31,49.98,8.63,53.35,3.15,23.48,15.48,21.91,40.61,16.65,14.08,13.63,27.35,16.11,87.4,12.84,176.0,32.41,21.34,8.19,0.6701,33.75,9.32,93.17,68.0,114.75,50.4,110.06,38.37,78.98,101.31,73.4,14.02,10.5,10.52,86.96,47.35,50.11,6.5,58.89,27.26,14.44,5.95,50.5,21.7,,,,,,,,,,,
40,69.59,13.42,17.71,8.63,79.85,57.33,38.68,46.76,26.68,5.925,24.7,,17.28,6.61,3.72,8.01,10.73,95.9,130.22,68.61,50.32,9.34,51.44,2.91,23.5,15.71,21.89,40.57,16.43,13.52,12.51,27.89,16.35,89.23,13.64,194.67,31.72,21.31,8.7,0.6799,33.34,10.27,98.86,67.44,115.47,52.45,111.79,39.06,81.55,102.17,84.3,14.75,10.75,9.56,87.95,48.05,51.72,6.75,61.02,28.07,14.74,6.1,50.98,22.55,,,,,,,,,,,
41,69.36,13.55,18.94,8.1,79.73,55.79,35.31,44.92,27.0,6.01,24.7,,16.99,6.78,3.93,8.42,10.82,94.93,120.04,66.1,50.21,10.73,51.59,3.26,24.0,14.75,21.88,39.1,16.16,13.8,13.7,28.79,15.72,94.79,13.25,196.96,33.93,20.57,8.68,0.6978,34.41,10.1,99.35,67.64,117.05,51.2,109.9,37.92,85.37,100.6,82.0,14.05,10.75,9.03,91.3,48.12,54.28,6.85,62.56,29.29,15.8,5.8,50.97,23.46,,,,,,,,,,,
42,71.82,13.48,19.055,7.79,79.26,59.07,36.45,46.3,26.4,5.73,24.94,,17.95,7.07,3.82,8.285,11.05,96.69,117.98,66.67,48.62,11.78,49.45,3.35,24.4,14.99,21.78,39.1,16.64,13.0,13.24,27.36,16.64,101.58,14.38,208.92,38.08,21.27,8.34,0.6665,34.32,10.24,99.95,68.53,113.05,56.75,113.95,39.02,88.37,103.57,86.55,13.88,11.15,8.81,92.12,47.03,53.42,7.125,62.18,28.55,15.6,6.9,52.39,24.66,,,,,,,,,,,
43,72.56,14.41,19.13,8.555,80.32,61.0,37.22,46.45,26.59,5.94,22.51,,17.43,7.0,3.6,8.565,10.82,93.31,107.41,62.39,49.2,10.07,49.75,3.42,24.45,14.61,22.21,38.93,16.33,13.27,12.29,26.83,17.86,97.66,15.65,203.27,36.89,20.43,8.35,0.6553,34.14,10.54,97.63,63.1,117.3,57.35,115.97,40.09,85.95,105.87,88.8,14.25,10.95,8.62,89.3,47.99,52.96,7.35,61.4,29.73,16.87,6.95,56.48,23.7,,,,,,,,,,,
44,71.14,14.96,20.17,8.69,81.74,63.07,38.08,48.46,27.82,5.62,22.51,,17.65,6.7,2.93,8.53,11.01,96.02,119.26,66.78,50.26,10.4,50.0,3.64,25.0,14.06,20.92,37.78,16.65,13.9,13.02,27.04,17.61,101.12,14.09,198.01,38.52,21.48,8.38,0.5802,33.81,10.13,90.21,63.31,119.98,59.5,116.52,40.33,75.48,105.09,89.25,14.07,10.95,8.09,88.73,47.66,54.73,7.65,64.0,30.31,16.55,6.95,56.49,23.25,,,,,,,,,,,
45,72.46,14.41,19.38,8.79,80.2,62.16,35.97,48.69,27.84,5.86,22.51,,17.32,6.73,3.05,9.61,11.17,97.03,111.49,66.35,50.43,10.21,50.82,3.63,25.96,14.4,22.26,37.31,16.55,13.01,12.23,26.35,17.72,98.36,14.4,181.03,37.38,22.41,8.33,0.5221,34.11,10.11,90.77,64.65,121.22,57.0,115.82,40.12,74.61,104.63,86.4,14.2,11.45,8.23,90.44,47.46,56.08,7.65,63.24,30.49,16.35,6.95,58.0,23.41,,,,,,,,,,,
46,72.18,15.54,21.75,8.45,79.62,61.71,35.1,50.1,27.42,5.6,21.09,,17.62,7.51,3.08,8.66,10.25,94.68,110.85,66.98,53.19,10.51,51.04,3.69,20.23,13.74,22.98,36.24,15.87,12.51,13.92,24.65,18.69,105.7,16.21,183.6,34.87,23.34,8.81,0.5745,34.85,10.14,91.86,67.94,121.01,55.5,117.91,39.88,75.08,104.56,88.65,13.22,12.15,7.88,90.17,34.4,56.02,7.6,67.58,32.46,16.96,6.925,63.21,,,,,,,,,,,,
47,73.08,15.42,20.91,6.66,80.83,62.87,34.2,50.2,27.5,6.05,21.72,,16.62,7.86,2.98,8.32,10.56,93.57,109.78,68.29,50.5,10.09,52.26,3.36,22.11,13.36,22.75,34.83,15.6,12.69,16.21,23.3,15.73,103.81,16.72,173.21,34.43,22.84,8.89,0.5488,35.93,10.57,93.12,67.45,116.06,57.55,119.04,40.18,74.81,101.55,86.0,13.17,12.2,8.33,88.95,34.07,56.37,7.6,69.26,33.21,17.09,6.975,60.09,,,,,,,,,,,,
48,72.74,15.92,21.31,6.24,83.01,64.28,34.83,52.56,28.3,5.62,21.34,,16.49,7.9,3.01,8.05,10.73,93.29,107.94,66.89,48.58,8.35,52.89,3.18,21.94,12.45,22.34,34.32,15.24,13.25,16.1,24.5,17.36,111.51,16.32,189.99,35.94,22.47,9.1,0.5273,36.35,10.73,94.85,65.79,115.39,55.75,120.0,39.35,74.65,103.24,85.3,14.21,11.65,8.51,88.68,35.7,57.49,6.075,71.82,32.3,17.01,6.95,61.27,,,,,,,,,,,,
